Scheme Name	Net Asset Value
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	35.1298
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	13.1384
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	33.6521
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	11.1163
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2490.5291
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1064.3271
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1009.905
Invesco India Banking and PSU Fund - Regular Plan - Daily IDCW (Reinvestment)	1051.1237
Invesco India Banking and PSU Fund - Regular Plan - Growth Option	2322.4712
Invesco India Banking and PSU Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment)	1060.7855
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	13.7248
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	13.7266
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	13.3434
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	13.3446
Kotak Banking and PSU Debt - Growth	67.325
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	12.6488
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	70.2523
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.271
LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW	14.3112
LIC MF Banking & PSU Fund-Direct Plan-Growth	38.6086
LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW	14.5405
LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW	10.0504
LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW	11.4611
LIC MF Banking & PSU Fund-Regular Plan-Growth	35.7224
LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW	13.3696
LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW	10.3818
Mirae Asset Banking and PSU Fund - Direct Plan - Growth	13.5902
Mirae Asset Banking and PSU Fund - Direct Plan - IDCW	13.5847
Mirae Asset Banking and PSU Fund - Regular Plan - Growth	13.2675
Mirae Asset Banking and PSU Fund - Regular plan - IDCW	13.2686
NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option	22.1362
NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option	10.3649
